Lea State,LEA,ID,Year,Category,Sex,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
WY,Uinta County School District #1,5602760,2015,Total enrollment,F,15.00,10.00,0.00,214.00,16.00,1078.00,0.00,1333.00,149.00,6.00,83.00
WY,Sheridan County School District #2,5605695,2015,School days missed due to out-of-school suspension,M,8.00,0.00,0.00,26.00,3.00,757.00,8.00,802.00,26.00,0.00,0.00
WY,Sheridan County School District #2,5605695,2015,School days missed due to out-of-school suspension,F,3.00,0.00,0.00,3.00,1.00,94.00,12.00,113.00,33.00,0.00,0.00
WY,Sheridan County School District #2,5605695,2015,Total enrollment,M,24.00,17.00,4.00,91.00,13.00,1643.00,34.00,1826.00,263.00,13.00,21.00
WY,Sheridan County School District #2,5605695,2015,Total enrollment,F,27.00,13.00,12.00,97.00,17.00,1517.00,50.00,1733.00,139.00,16.00,10.00
WY,Weston County School District #7,5606090,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,5.00,0.00,5.00,0.00,0.00,0.00
WY,Weston County School District #7,5606090,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WY,Weston County School District #7,5606090,2015,Total enrollment,M,2.00,0.00,0.00,0.00,0.00,138.00,6.00,146.00,27.00,2.00,0.00
WY,Weston County School District #7,5606090,2015,Total enrollment,F,4.00,0.00,0.00,0.00,2.00,123.00,12.00,141.00,17.00,2.00,0.00
WY,Sublette County School District #1,5604860,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,13.00,0.00,82.00,0.00,95.00,31.00,0.00,0.00
WY,Sublette County School District #1,5604860,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WY,Sublette County School District #1,5604860,2015,Total enrollment,M,11.00,12.00,0.00,56.00,4.00,484.00,0.00,567.00,82.00,20.00,27.00
WY,Sublette County School District #1,5604860,2015,Total enrollment,F,6.00,6.00,0.00,48.00,2.00,446.00,2.00,510.00,42.00,15.00,9.00
WY,Hot Springs County School District #1,5603310,2015,School days missed due to out-of-school suspension,M,2.00,0.00,0.00,0.00,0.00,67.00,0.00,69.00,21.00,0.00,0.00
WY,Hot Springs County School District #1,5603310,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,3.00,0.00,6.00,0.00,9.00,3.00,0.00,0.00
